奈德 临 unknown 奈德·斯塔克是临冬城公爵暨北境守卫
霍斯特 改婚 unknown 凯特琳作为奔流城公爵霍斯特·徒利的长女，本是艾德·史塔克的长兄，布兰登的未婚妻，布兰登死后，改婚约嫁给艾德
艾德 改婚 unknown 凯特琳作为奔流城公爵霍斯特·徒利的长女，本是艾德·史塔克的长兄，布兰登的未婚妻，布兰登死后，改婚约嫁给艾德
艾德慕 徒利 unknown 凯特琳另有一妹和一幼弟艾德慕·徒利爵士
罗柏 临 unknown 罗柏·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的合法长子，临冬城的继承人
罗柏 艾德 unknown 罗柏·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的合法长子，临冬城的继承人
罗柏 临 unknown 罗柏·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的合法长子，临冬城的继承人
临 艾德 unknown 罗柏·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的合法长子，临冬城的继承人
临 临 unknown 罗柏·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的合法长子，临冬城的继承人
艾德 临 unknown 罗柏·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的合法长子，临冬城的继承人
琼恩 席恩 unknown 他是个出色的战士，与同父异母的私生子兄弟琼恩·雪诺和父亲的养子席恩·葛雷乔伊同为好友
琼恩 葛雷乔伊 unknown 他是个出色的战士，与同父异母的私生子兄弟琼恩·雪诺和父亲的养子席恩·葛雷乔伊同为好友
席恩 葛雷乔伊 unknown 他是个出色的战士，与同父异母的私生子兄弟琼恩·雪诺和父亲的养子席恩·葛雷乔伊同为好友
琼恩 艾德 unknown 琼恩·雪诺是艾德公爵的私生儿子，与罗柏·史塔克同龄，兄弟关系亲密无间
琼恩 与罗柏 unknown 琼恩·雪诺是艾德公爵的私生儿子，与罗柏·史塔克同龄，兄弟关系亲密无间
琼恩 史塔克 unknown 琼恩·雪诺是艾德公爵的私生儿子，与罗柏·史塔克同龄，兄弟关系亲密无间
琼恩 关 unknown 琼恩·雪诺是艾德公爵的私生儿子，与罗柏·史塔克同龄，兄弟关系亲密无间
艾德 与罗柏 unknown 琼恩·雪诺是艾德公爵的私生儿子，与罗柏·史塔克同龄，兄弟关系亲密无间
艾德 史塔克 unknown 琼恩·雪诺是艾德公爵的私生儿子，与罗柏·史塔克同龄，兄弟关系亲密无间
艾德 关 unknown 琼恩·雪诺是艾德公爵的私生儿子，与罗柏·史塔克同龄，兄弟关系亲密无间
与罗柏 史塔克 unknown 琼恩·雪诺是艾德公爵的私生儿子，与罗柏·史塔克同龄，兄弟关系亲密无间
与罗柏 关 unknown 琼恩·雪诺是艾德公爵的私生儿子，与罗柏·史塔克同龄，兄弟关系亲密无间
史塔克 关 unknown 琼恩·雪诺是艾德公爵的私生儿子，与罗柏·史塔克同龄，兄弟关系亲密无间
艾德 南方 unknown 其母身份不明，艾德公爵拒绝向任何人透露——有人传说那是南方某家族的一位贵族小姐，也有人说是一个寻常的使女
艾莉亚 临 unknown 艾莉亚·史塔克是临冬城公爵艾德和凯特琳夫人的次女，珊莎的妹妹
艾莉亚 ， unknown 艾莉亚·史塔克是临冬城公爵艾德和凯特琳夫人的次女，珊莎的妹妹
临 ， unknown 艾莉亚·史塔克是临冬城公爵艾德和凯特琳夫人的次女，珊莎的妹妹
艾莉 艾德 unknown 不像母亲和姐姐，艾莉亚是个典型的“假小子”，活泼好动，喜欢舞刀弄剑，被父亲艾德公爵评价为具有“奔狼的血液”
珊莎 临 unknown 珊莎·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的长女，罗柏·史塔克之长妹
珊莎 艾德 unknown 珊莎·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的长女，罗柏·史塔克之长妹
珊莎 罗柏 unknown 珊莎·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的长女，罗柏·史塔克之长妹
临 艾德 unknown 珊莎·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的长女，罗柏·史塔克之长妹
临 罗柏 unknown 珊莎·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的长女，罗柏·史塔克之长妹
艾德 罗柏 unknown 珊莎·史塔克是临冬城公爵艾德·史塔克和公爵夫人凯特琳的长女，罗柏·史塔克之长妹
布兰 临 unknown 布兰·史塔克是临冬城公爵艾德·史塔克和凯特琳夫人的第三子，艾莉亚之弟
布兰 艾德 unknown 布兰·史塔克是临冬城公爵艾德·史塔克和凯特琳夫人的第三子，艾莉亚之弟
布兰 史塔克 unknown 布兰·史塔克是临冬城公爵艾德·史塔克和凯特琳夫人的第三子，艾莉亚之弟
临 艾德 unknown 布兰·史塔克是临冬城公爵艾德·史塔克和凯特琳夫人的第三子，艾莉亚之弟
临 史塔克 unknown 布兰·史塔克是临冬城公爵艾德·史塔克和凯特琳夫人的第三子，艾莉亚之弟
艾德 史塔克 unknown 布兰·史塔克是临冬城公爵艾德·史塔克和凯特琳夫人的第三子，艾莉亚之弟
瑞肯 艾德 unknown 瑞肯·史塔克是艾德·史塔克公爵和凯特琳夫人最小的儿子，年幼懵懂但野性十足，是史塔克家族小辈中最让人难以捉摸的一个孩子
瑞肯 史塔克 unknown 瑞肯·史塔克是艾德·史塔克公爵和凯特琳夫人最小的儿子，年幼懵懂但野性十足，是史塔克家族小辈中最让人难以捉摸的一个孩子
艾德 史塔克 unknown 瑞肯·史塔克是艾德·史塔克公爵和凯特琳夫人最小的儿子，年幼懵懂但野性十足，是史塔克家族小辈中最让人难以捉摸的一个孩子
哥哥布 兰 unknown 他和年龄接近的小哥哥布兰感情比较亲
瑟曦 兰尼斯特 unknown 瑟曦·兰尼斯特·拜拉席恩是七大王国现任王后，国王劳勃·拜拉席恩的合法妻子，王子乔弗里、托曼和公主弥塞拉之生母
瑟曦 现任 unknown 瑟曦·兰尼斯特·拜拉席恩是七大王国现任王后，国王劳勃·拜拉席恩的合法妻子，王子乔弗里、托曼和公主弥塞拉之生母
瑟曦 ， unknown 瑟曦·兰尼斯特·拜拉席恩是七大王国现任王后，国王劳勃·拜拉席恩的合法妻子，王子乔弗里、托曼和公主弥塞拉之生母
瑟曦 劳勃 unknown 瑟曦·兰尼斯特·拜拉席恩是七大王国现任王后，国王劳勃·拜拉席恩的合法妻子，王子乔弗里、托曼和公主弥塞拉之生母
兰尼斯特 现任 unknown 瑟曦·兰尼斯特·拜拉席恩是七大王国现任王后，国王劳勃·拜拉席恩的合法妻子，王子乔弗里、托曼和公主弥塞拉之生母
兰尼斯特 ， unknown 瑟曦·兰尼斯特·拜拉席恩是七大王国现任王后，国王劳勃·拜拉席恩的合法妻子，王子乔弗里、托曼和公主弥塞拉之生母
兰尼斯特 劳勃 unknown 瑟曦·兰尼斯特·拜拉席恩是七大王国现任王后，国王劳勃·拜拉席恩的合法妻子，王子乔弗里、托曼和公主弥塞拉之生母
现任 ， unknown 瑟曦·兰尼斯特·拜拉席恩是七大王国现任王后，国王劳勃·拜拉席恩的合法妻子，王子乔弗里、托曼和公主弥塞拉之生母
现任 劳勃 unknown 瑟曦·兰尼斯特·拜拉席恩是七大王国现任王后，国王劳勃·拜拉席恩的合法妻子，王子乔弗里、托曼和公主弥塞拉之生母
， 劳勃 unknown 瑟曦·兰尼斯特·拜拉席恩是七大王国现任王后，国王劳勃·拜拉席恩的合法妻子，王子乔弗里、托曼和公主弥塞拉之生母
王 国前 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
王 凯 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
王 岩城 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
王 泰温 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
王 詹姆 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
国前 凯 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
国前 岩城 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
国前 泰温 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
国前 詹姆 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
凯 岩城 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
凯 泰温 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
凯 詹姆 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
岩城 泰温 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
岩城 詹姆 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
泰温 詹姆 unknown 她是七大王国前首相及凯岩城公爵泰温·兰尼斯特的长女，有一双胞胎弟弟詹姆·兰尼斯特，二人具有金发碧眼的典型兰尼斯特家族遗传
提利昂 王 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
提利昂 凯 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
提利昂 岩城 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
提利昂 泰温 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
提利昂 兰尼斯特 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
王 凯 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
王 岩城 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
王 泰温 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
王 兰尼斯特 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
凯 岩城 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
凯 泰温 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
凯 兰尼斯特 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
岩城 泰温 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
岩城 兰尼斯特 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
泰温 兰尼斯特 unknown 提利昂·兰尼斯特是七大王国前代理御前首相及凯岩城公爵泰温·兰尼斯特最小的孩子，是个侏儒，容貌丑陋
还 导 unknown 提利昂非常喜爱读书，善于思考，富有谋略，但是由于他天生畸形，出生时还导致母亲难产死亡，所以父亲泰温对他极其厌恶
还 父亲 unknown 提利昂非常喜爱读书，善于思考，富有谋略，但是由于他天生畸形，出生时还导致母亲难产死亡，所以父亲泰温对他极其厌恶
导 父亲 unknown 提利昂非常喜爱读书，善于思考，富有谋略，但是由于他天生畸形，出生时还导致母亲难产死亡，所以父亲泰温对他极其厌恶
哥哥詹姆 姐姐瑟曦 unknown 他跟哥哥詹姆·兰尼斯特的关系很好，跟姐姐瑟曦·兰尼斯特的关系则非常糟糕
泰温 凯 unknown 泰温·兰尼斯特是凯岩城公爵，兰尼斯港之盾和西境守护
泰温 岩城 unknown 泰温·兰尼斯特是凯岩城公爵，兰尼斯港之盾和西境守护
凯 岩城 unknown 泰温·兰尼斯特是凯岩城公爵，兰尼斯港之盾和西境守护
詹姆 泰温 unknown 詹姆·兰尼斯特是凯岩城领主泰温·兰尼斯特和他的妻子乔安娜夫人的第二个孩子，同时也是他们的长子
詹姆 伊里斯 unknown 詹姆年仅十五岁就加入了疯王伊里斯·坦格利安二世的御林铁卫，当他在篡夺者战争之中背叛伊里斯国王，并将其杀死在铁王座下的时候，世人送他“弑君者”的外号
詹姆 坦格利安 unknown 詹姆年仅十五岁就加入了疯王伊里斯·坦格利安二世的御林铁卫，当他在篡夺者战争之中背叛伊里斯国王，并将其杀死在铁王座下的时候，世人送他“弑君者”的外号
伊里斯 坦格利安 unknown 詹姆年仅十五岁就加入了疯王伊里斯·坦格利安二世的御林铁卫，当他在篡夺者战争之中背叛伊里斯国王，并将其杀死在铁王座下的时候，世人送他“弑君者”的外号
乔佛里 劳勃 unknown 乔佛里·拜拉席恩是七大王国国王劳勃·拜拉席恩和王后瑟曦的长子，“铁王座”的王位继承人
乔佛里 王 unknown 乔佛里·拜拉席恩是七大王国国王劳勃·拜拉席恩和王后瑟曦的长子，“铁王座”的王位继承人
劳勃 王 unknown 乔佛里·拜拉席恩是七大王国国王劳勃·拜拉席恩和王后瑟曦的长子，“铁王座”的王位继承人
乔 弗里 unknown 相比于同龄人，乔弗里身材高大，具有母亲一样的金发碧眼，但性格专横霸道，处处以王子自居
乔 处 unknown 相比于同龄人，乔弗里身材高大，具有母亲一样的金发碧眼，但性格专横霸道，处处以王子自居
弗里 处 unknown 相比于同龄人，乔弗里身材高大，具有母亲一样的金发碧眼，但性格专横霸道，处处以王子自居
丽丝 佛罗伦关 unknown 与妻子赛丽丝·佛罗伦关系冷淡，小女儿席琳的脸上因疾病而留下伤疤
蓝礼 ， unknown 蓝礼·拜拉席恩是劳勃和史坦尼斯的幼弟，风息堡公爵，劳勃国王御前会议的法务大臣
玛 格丽 unknown 年轻英俊，充满魅力，配偶为玛格丽·提利尔，但实际上与“百花骑士”洛拉斯·提利尔才是真正的恋人关系
玛 百花 unknown 年轻英俊，充满魅力，配偶为玛格丽·提利尔，但实际上与“百花骑士”洛拉斯·提利尔才是真正的恋人关系
格丽 百花 unknown 年轻英俊，充满魅力，配偶为玛格丽·提利尔，但实际上与“百花骑士”洛拉斯·提利尔才是真正的恋人关系
， 王 unknown 劳勃死后，蓝礼也自立为王，并得到风暴地多数家族的支持
哥哥韦 赛里斯 unknown 她与哥哥韦赛里斯·坦格利安，是“疯王”伊里斯·坦格利安的次子
哥哥韦 伊里斯 unknown 她与哥哥韦赛里斯·坦格利安，是“疯王”伊里斯·坦格利安的次子
赛里斯 伊里斯 unknown 她与哥哥韦赛里斯·坦格利安，是“疯王”伊里斯·坦格利安的次子
为了 回铁 unknown 为了让哥哥夺回铁王座，嫁给部落卓戈·卡奥
为了 戈 unknown 为了让哥哥夺回铁王座，嫁给部落卓戈·卡奥
回铁 戈 unknown 为了让哥哥夺回铁王座，嫁给部落卓戈·卡奥
乔拉 杰奥 unknown 乔拉·莫尔蒙是杰奥·莫尔蒙之子，被流放的骑士，过去的熊岛的头领以及莫尔蒙家族的族长
乔拉 莫尔蒙 unknown 乔拉·莫尔蒙是杰奥·莫尔蒙之子，被流放的骑士，过去的熊岛的头领以及莫尔蒙家族的族长
杰奥 莫尔蒙 unknown 乔拉·莫尔蒙是杰奥·莫尔蒙之子，被流放的骑士，过去的熊岛的头领以及莫尔蒙家族的族长
达 狭海 unknown 后来到达狭海对岸的东大陆厄索斯，并成为丹妮莉丝最重要和最信赖的伙伴之一
韦赛里斯 根据坦格利安 unknown 韦赛里斯·坦格利安是根据坦格利安家族习俗，韦赛里斯和妹妹丹妮莉丝·坦格利安一样，都是“疯王”与蕾拉王后兄妹通婚所生
韦赛里斯 习俗 unknown 韦赛里斯·坦格利安是根据坦格利安家族习俗，韦赛里斯和妹妹丹妮莉丝·坦格利安一样，都是“疯王”与蕾拉王后兄妹通婚所生
韦赛里斯 丹妮莉丝 unknown 韦赛里斯·坦格利安是根据坦格利安家族习俗，韦赛里斯和妹妹丹妮莉丝·坦格利安一样，都是“疯王”与蕾拉王后兄妹通婚所生
韦赛里斯 与蕾拉 unknown 韦赛里斯·坦格利安是根据坦格利安家族习俗，韦赛里斯和妹妹丹妮莉丝·坦格利安一样，都是“疯王”与蕾拉王后兄妹通婚所生
根据坦格利安 习俗 unknown 韦赛里斯·坦格利安是根据坦格利安家族习俗，韦赛里斯和妹妹丹妮莉丝·坦格利安一样，都是“疯王”与蕾拉王后兄妹通婚所生
根据坦格利安 丹妮莉丝 unknown 韦赛里斯·坦格利安是根据坦格利安家族习俗，韦赛里斯和妹妹丹妮莉丝·坦格利安一样，都是“疯王”与蕾拉王后兄妹通婚所生
根据坦格利安 与蕾拉 unknown 韦赛里斯·坦格利安是根据坦格利安家族习俗，韦赛里斯和妹妹丹妮莉丝·坦格利安一样，都是“疯王”与蕾拉王后兄妹通婚所生
习俗 丹妮莉丝 unknown 韦赛里斯·坦格利安是根据坦格利安家族习俗，韦赛里斯和妹妹丹妮莉丝·坦格利安一样，都是“疯王”与蕾拉王后兄妹通婚所生
习俗 与蕾拉 unknown 韦赛里斯·坦格利安是根据坦格利安家族习俗，韦赛里斯和妹妹丹妮莉丝·坦格利安一样，都是“疯王”与蕾拉王后兄妹通婚所生
丹妮莉丝 与蕾拉 unknown 韦赛里斯·坦格利安是根据坦格利安家族习俗，韦赛里斯和妹妹丹妮莉丝·坦格利安一样，都是“疯王”与蕾拉王后兄妹通婚所生
瓦雷利 亚 unknown 兄妹均继承坦格利安的瓦雷利亚民族特征，银发紫眼
瓦雷利 银 unknown 兄妹均继承坦格利安的瓦雷利亚民族特征，银发紫眼
瓦雷利 发 unknown 兄妹均继承坦格利安的瓦雷利亚民族特征，银发紫眼
亚 银 unknown 兄妹均继承坦格利安的瓦雷利亚民族特征，银发紫眼
亚 发 unknown 兄妹均继承坦格利安的瓦雷利亚民族特征，银发紫眼
银 发 unknown 兄妹均继承坦格利安的瓦雷利亚民族特征，银发紫眼
伊耿称 赏徒利 unknown 伊耿称王后为犒赏徒利家族，将其提升为三叉戟河流域的统治者
为前 琼恩• unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
为前 艾林 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
为前 尔 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
为前 •贝 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
为前 头 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
为前 赫伦堡 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
为前 ， unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
为前 峡谷 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
琼恩• 艾林 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
琼恩• 尔 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
琼恩• •贝 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
琼恩• 头 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
琼恩• 赫伦堡 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
琼恩• ， unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
琼恩• 峡谷 unknown 他的母亲为前首相琼恩•艾林公爵遗孀，他的继父，培提尔•贝里席，外号“小指头”，赫伦堡公爵，三叉戟河流域总督，峡谷守护者
